timestamp,mem_mb,fs_init_mb,fs_delta_mb,repeat_idx,pair_idx,operation,elapsed_ms,comment
00:16:35,0,32,0,1,1,SNAPSHOT,70.544,
00:16:45,0,32,0,1,1,RESTORE,111.342,
00:16:55,0,32,0,1,2,SNAPSHOT,53.326,
00:17:05,0,32,0,1,2,RESTORE,116.504,
00:17:15,0,32,0,1,3,SNAPSHOT,54.161,
00:17:26,0,32,0,1,3,RESTORE,124.558,
00:17:36,0,32,0,1,4,SNAPSHOT,52.205,
00:17:46,0,32,0,1,4,RESTORE,114.202,
00:17:56,0,32,0,1,5,SNAPSHOT,54.456,
00:18:06,0,32,0,1,5,RESTORE,116.968,
00:18:12,0,32,0,1,0,CLEANUP,331.371,
00:18:32,0,32,0,2,0,BUILD,20466.836,
00:18:37,0,32,0,2,0,INFO.du,551418637.000,du_B=551418637
00:18:47,0,32,0,2,1,SNAPSHOT,74.641,
00:18:58,0,32,0,2,1,RESTORE,114.092,
00:19:08,0,32,0,2,2,SNAPSHOT,55.100,
00:19:18,0,32,0,2,2,RESTORE,114.087,
00:19:28,0,32,0,2,3,SNAPSHOT,58.664,
00:19:38,0,32,0,2,3,RESTORE,116.654,
00:19:48,0,32,0,2,4,SNAPSHOT,53.756,
00:19:58,0,32,0,2,4,RESTORE,115.253,
00:20:09,0,32,0,2,5,SNAPSHOT,51.789,
00:20:19,0,32,0,2,5,RESTORE,113.364,
00:20:24,0,32,0,2,0,CLEANUP,330.985,
00:20:45,0,32,0,3,0,BUILD,20581.759,
00:20:50,0,32,0,3,0,INFO.du,551424886.000,du_B=551424886
00:21:00,0,32,0,3,1,SNAPSHOT,69.743,
00:21:10,0,32,0,3,1,RESTORE,114.620,
00:21:20,0,32,0,3,2,SNAPSHOT,55.624,
00:21:30,0,32,0,3,2,RESTORE,114.517,
00:21:41,0,32,0,3,3,SNAPSHOT,56.636,
00:21:51,0,32,0,3,3,RESTORE,114.404,
00:22:01,0,32,0,3,4,SNAPSHOT,53.317,
00:22:11,0,32,0,3,4,RESTORE,113.942,
00:22:21,0,32,0,3,5,SNAPSHOT,53.985,
00:22:31,0,32,0,3,5,RESTORE,125.775,
00:22:37,0,32,0,3,0,CLEANUP,311.731,
00:23:02,0,64,0,1,0,BUILD,20544.984,
00:23:07,0,64,0,1,0,INFO.du,584985621.000,du_B=584985621
00:23:18,0,64,0,1,1,SNAPSHOT,74.940,
00:23:28,0,64,0,1,1,RESTORE,115.263,
00:23:38,0,64,0,1,2,SNAPSHOT,54.266,
00:23:48,0,64,0,1,2,RESTORE,112.890,
00:23:58,0,64,0,1,3,SNAPSHOT,52.620,
00:24:08,0,64,0,1,3,RESTORE,113.465,
00:24:18,0,64,0,1,4,SNAPSHOT,55.079,
00:24:29,0,64,0,1,4,RESTORE,114.412,
00:24:39,0,64,0,1,5,SNAPSHOT,54.920,
00:24:49,0,64,0,1,5,RESTORE,128.332,
00:24:54,0,64,0,1,0,CLEANUP,318.410,
00:25:15,0,64,0,2,0,BUILD,20499.903,
00:25:20,0,64,0,2,0,INFO.du,584991845.000,du_B=584991845
00:25:30,0,64,0,2,1,SNAPSHOT,73.801,
00:25:40,0,64,0,2,1,RESTORE,113.144,
00:25:50,0,64,0,2,2,SNAPSHOT,55.213,
00:26:01,0,64,0,2,2,RESTORE,114.051,
00:26:11,0,64,0,2,3,SNAPSHOT,53.672,
00:26:21,0,64,0,2,3,RESTORE,112.194,
00:26:31,0,64,0,2,4,SNAPSHOT,56.038,
00:26:41,0,64,0,2,4,RESTORE,114.590,
00:26:51,0,64,0,2,5,SNAPSHOT,54.882,
00:27:02,0,64,0,2,5,RESTORE,124.535,
00:27:07,0,64,0,2,0,CLEANUP,322.354,
00:27:27,0,64,0,3,0,BUILD,20529.615,
00:27:33,0,64,0,3,0,INFO.du,584998069.000,du_B=584998069
00:27:43,0,64,0,3,1,SNAPSHOT,78.976,
00:27:53,0,64,0,3,1,RESTORE,115.269,
00:28:03,0,64,0,3,2,SNAPSHOT,55.102,
00:28:13,0,64,0,3,2,RESTORE,115.364,
00:28:23,0,64,0,3,3,SNAPSHOT,57.055,
00:28:34,0,64,0,3,3,RESTORE,113.715,
00:28:44,0,64,0,3,4,SNAPSHOT,54.703,
00:28:54,0,64,0,3,4,RESTORE,112.985,
